Date,Number of Sessions,Total Energy (kWh)
01/02/2025,2,39.95
02/02/2025,1,37.04
03/02/2025,2,36.24
04/02/2025,1,4.81
05/02/2025,2,36.53
06/02/2025,1,4.55
07/02/2025,1,4.84
08/02/2025,2,33.97
09/02/2025,3,21.22
10/02/2025,1,4.88
11/02/2025,1,4.53
12/02/2025,2,41.85
13/02/2025,1,4.34
14/02/2025,2,39.64
15/02/2025,2,31.72
16/02/2025,1,28.05
17/02/2025,1,4.49
18/02/2025,1,4.27
19/02/2025,2,46.05
20/02/2025,1,4.49
21/02/2025,2,17.20
22/02/2025,1,4.52
23/02/2025,2,53.28
24/02/2025,1,29.11
25/02/2025,1,15.73
26/02/2025,1,4.42
27/02/2025,2,34.04
28/02/2025,2,38.34
